Date,Price,Open,High,Low,Vol.,Change %,next_week_first_day,y
26-Mar-20,10077.00,9785.90,10087.10,9493.80,112.36K,0.03,9580.00,-1.00
25-Mar-20,9782.90,9580.20,10114.80,9414.50,157.85K,0.02,10077.00,1.00
24-Mar-20,9581.70,8935.00,9799.40,8866.80,143.42K,0.10,9782.90,1.00
23-Mar-20,8684.00,8281.00,9087.50,8133.00,128.87K,0.05,9581.70,1.00
22-Mar-20,8245.50,8146.30,8361.10,8146.30,-,-0.08,8684.00,1.00
20-Mar-20,9006.70,8500.00,9188.50,8500.00,5.39K,0.05,8245.50,-1.00
19-Mar-20,8557.30,8643.50,8803.50,7966.50,106.25K,0.01,9006.70,1.00
18-Mar-20,8476.00,8662.50,8892.50,8185.00,148.69K,-0.05,8557.30,1.00
17-Mar-20,8904.50,8740.00,9165.00,8416.00,157.80K,0.02,8476.00,-1.00
16-Mar-20,8719.00,9117.50,9117.50,8226.50,184.55K,-0.05,8904.50,1.00
13-Mar-20,9175.00,9051.50,9990.50,8809.50,188.97K,-0.01,8719.00,-1.00
12-Mar-20,9253.00,10282.50,10282.50,8967.00,209.79K,-0.11,9175.00,-1.00
11-Mar-20,10407.00,10702.50,10757.50,10205.50,149.49K,-0.01,9253.00,-1.00
10-Mar-20,10506.50,10530.00,11031.00,10414.50,174.85K,-0.02,10407.00,-1.00
9-Mar-20,10685.50,11046.00,11092.00,10350.00,172.27K,-0.07,10506.50,-1.00
6-Mar-20,11545.00,11836.00,11862.00,11417.50,212.68K,-0.03,10685.50,-1.00
5-Mar-20,11956.00,12159.00,12219.50,11746.00,180.68K,-0.01,11545.00,-1.00
4-Mar-20,12085.00,11841.50,12275.50,11841.50,149.25K,0.01,11956.00,-1.00
3-Mar-20,11924.00,12049.50,12269.00,11731.00,215.19K,0.01,12085.00,1.00
2-Mar-20,11864.00,11744.50,12213.00,11617.00,208.93K,0.00,11924.00,1.00
